title, mapx, mapy, telephone, roadAddress
성심당,348785,414276,1588-8069,대전광역시 중구 대종로480번길 15
이성당,283971,377120,063-445-2772,전라북도 군산시 중앙로 177 이성당
스타펫미팅 애견<b>카페</b>,394090,485624,,충청북도 충주시 성서7길 29-1
테라로사 커피공장,478853,566337,033-648-2760,강원도 강릉시 구정면 현천길 7
패션5,312013,548966,02-2071-9505,서울특별시 용산구 이태원로 272 SPC빌딩
산토리니 <b>카페</b> 레스토랑,380540,587667,033-242-3010,강원도 춘천시 동면 순환대로 1154-97 구봉산휴게소
테라로사 서종점,343293,558255,,경기도 양평군 서종면 북한강로 992
서연의집,274945,75683,064-764-7894,제주특별자치도 서귀포시 남원읍 위미해안로 86
피오니,304878,550298,02-333-5325,서울특별시 마포구 어울마당로 56
어니언,316967,549587,02-1644-1941,서울특별시 성동구 아차산로9길 8 어니언
몽상드애월,243023,97609,064-799-8900,제주특별자치도 제주시 애월읍 애월북서길 56-1
제주봄날,243054,97561,064-799-4999,제주특별자치도 제주시 애월읍 애월로1길 25
프릳츠 도화점,307323,549281,02-3275-2045,서울특별시 마포구 새창로2길 17
맘모스제과,465625,440673,054-857-6000,경상북도 안동시 문화광장길 34
옵스 해운대점,506136,285503,051-747-6886,부산광역시 해운대구 중동1로 31
알베르,314261,544987,02-566-6181,서울특별시 강남구 강남대로102길 34
C27,313862,546956,02-544-1527,서울특별시 강남구 도산대로15길 39
가로수길,313842,546843,,
앤트러사이트 제주한림점,238189,91576,064-796-7991,제주특별자치도 제주시 한림읍 한림로 564
어글리스토브 신논현강남역점,314278,544739,02-558-8459,서울특별시 강남구 강남대로98길 20
쟝블랑제리,308388,542176,02-889-5170,서울특별시 관악구 낙성대역길 8
웨이브온커피,515647,303321,051-727-1660,부산광역시 기장군 장안읍 해맞이로 286 웨이브온커피
앤트러사이트 합정점,304624,549845,02-322-0009,서울특별시 마포구 토정로5길 10
델문도,276556,106092,064-702-0007,제주특별자치도 제주시 조천읍 조함해안로 519-10
<b>카페</b>폴앤메리,480942,577535,033-653-2354,강원도 강릉시 창해로350번길 33
보키네강아지,447942,358620,053-644-9557,대구광역시 달서구 조암로6길 6-34
태극당,312301,551283,02-2279-3152,서울특별시 중구 동호로24길 7 태극당
<b>카페</b>마마스 강남역점,314022,544228,02-584-1260,서울특별시 서초구 서운로 138 서초동아타워
소복 홍대 본점,304878,550311,02-6014-0861,서울특별시 마포구 어울마당로 58
세상의모든아침,304751,547220,02-2055-4442,서울특별시 영등포구 여의대로 24 전경련회관 50, 51F
<b>카페</b>부라노,304845,551063,02-322-8476,서울특별시 마포구 동교로23길 14 국제빌딩
산모퉁이,309058,555299,02-391-4737,서울특별시 종로구 백석동길 153
젤라띠젤라띠,304976,550337,02-3144-3281,서울특별시 마포구 와우산로17길 12
타르틴 이태원본점,311185,548539,02-3785-3400,서울특별시 용산구 이태원로23길 4
놀맨,243115,97564,064-799-3332,제주특별자치도 제주시 애월읍 애월로1길 24
더달달 역삼점,314299,545009,02-562-3737,서울특별시 강남구 강남대로102길 38-6 1층
스트릿츄러스 이태원점,310672,548844,02-792-1489,서울특별시 용산구 녹사평대로 222
삼송빵집 본점,453792,363324,053-254-4064,대구광역시 중구 중앙대로 395
하하호호,302528,103260,,제주특별자치도 제주시 우도면 우도해안길 532
<b>카페</b>왈,281063,548770,032-568-7757,인천광역시 서구 중봉대로612번길 10-20 청라프라자
비루개,323105,570901,031-841-7612,경기도 남양주시 별내면 용암비루개길 219-88
<b>카페</b>인신현리,326171,531027,,경기도 광주시 오포읍 새말길167번길 68
외할머니솜씨,323664,357258,063-232-5804,전라북도 전주시 완산구 은행로 87
PNB본점,323139,357950,063-285-6666,전라북도 전주시 완산구 팔달로 180 풍년제과
알렉스더커피 용인점,343977,504989,,경기도 용인시 처인구 백암면 삼백로835번길 12
ZAGMACHI,316841,549363,,서울특별시 성동구 성수이로 88 남정빌딩
허밍벨라,304768,550342,02-324-7050,서울특별시 마포구 독막로7길 57
유니스의 정원,301726,523872,031-437-2045,경기도 안산시 상록구 반월천북길 139 허브향원
해어름,293883,481639,041-362-1955,충청남도 당진시 신평면 매산해변길 144
<b>카페</b> 뎀셀브즈,310801,552370,02-2266-5947,서울특별시 종로구 삼일대로 388
<b>카페</b>드로잉,321032,530103,031-718-4308,경기도 성남시 분당구 정자일로 220 동양정자파라곤
성수동대림창고갤러리컬럼,316814,549270,02-499-9669,서울특별시 성동구 성수이로 78
벤자마스,511979,361154,,경상북도 경주시 윗동천길 2
<b>카페</b> 공작소,294291,103765,,제주특별자치도 제주시 구좌읍 해맞이해안로 1446
황남빵,509835,360791,054-749-7000,경상북도 경주시 태종로 783
닐모리동동,259715,103451,064-745-5008,제주특별자치도 제주시 서해안로 452 오다펜션 1층
효자베이커리,309108,553694,02-736-7629,서울특별시 종로구 필운대로 54
코롬방제과,252345,244702,061-243-2161,전라남도 목포시 노적봉길 9
바다정원,451289,625498,033-636-1096,강원도 고성군 토성면 버리깨길 31 바다정원
고당,338540,548464,031-576-8090,경기도 남양주시 조안면 북한강로 121 고당
엠키친&amp;<b>카페</b>,332352,551402,031-577-3200,경기도 남양주시 와부읍 경강로 832 엠키친
라뜰리에 김가,380674,586896,033-252-5756,강원도 춘천시 동면 순환대로 1154-18
에이블,313846,547269,02-3445-7335,서울특별시 강남구 압구정로14길 12
도레도레<b>카페</b>,261025,557272,032-937-1415,인천광역시 강화군 화도면 해안남로 1864-18
홍대개미 홍대점,304835,550103,02-586-9289,서울특별시 마포구 독막로 67-9
식물,310951,552876,02-747-4854,서울특별시 종로구 돈화문로11다길 46-1
포트1902,509221,286137,1899-6837,부산광역시 해운대구 송정구덕포길 170-5
브라더후드키친,314114,545033,02-539-1230,서울특별시 강남구 봉은사로4길 22 2층, 3층
살롱드몽슈슈 가로수길 본점,313718,547142,02-3445-6054,서울특별시 강남구 압구정로4길 13-20 1층
향기품은뜰,324109,358657,063-232-2799,전라북도 전주시 완산구 인봉1길 49-5
테라로사 사천점,478114,580356,,강원도 강릉시 사천면 순포안길 6
월정리LOWA,288482,107213,064-783-2240,제주특별자치도 제주시 구좌읍 해맞이해안로 472
아오이토리,305610,550824,02-333-0421,서울특별시 마포구 와우산로29길 8
빌즈 잠실,320970,546049,02-3213-4185,서울특별시 송파구 올림픽로 300 롯데월드몰 1층
Cafe The Air,304608,550639,02-324-2780,서울특별시 마포구 양화로 99
LeTAO,314068,547215,,서울특별시 강남구 압구정로18길 31
안티크코코,304812,550048,02-322-1837,서울특별시 마포구 독막로 64
살롱드에이치,321469,531834,031-714-1101,경기도 성남시 분당구 판교역로14번길 15 로데오프라자 2층
브라운핸즈백제,494916,280226,051-464-0332,부산광역시 동구 중앙대로209번길 16
더그림,355746,547548,,경기도 양평군 옥천면 사나사길 175
마망갸또 강남역점,314160,544965,02-556-3937,서울특별시 강남구 봉은사로4길 31
더베이커스테이블,310714,549073,,서울특별시 용산구 녹사평대로 244-1
섬소나이,303346,102404,064-784-2918,
스노브 홍대점,305020,550276,02-325-5770,서울특별시 마포구 와우산로 59
보사노바,483700,574817,033-653-0038,강원도 강릉시 창해로14번길 28
성심당 케익부띠끄,348732,414255,,대전광역시 중구 대종로 480
아라파파,259938,99077,064-725-8204,제주특별자치도 제주시 국기로3길 2
9BLOCK,331434,533766,031-761-1295,경기도 광주시 경충대로 1969 나인블럭
클로리스 신논현점,314042,545084,02-557-7523,서울특별시 강남구 봉은사로2길 12
에스프레소 퍼블릭,314245,544972,02-556-9317,서울특별시 강남구 강남대로102길 30
커피가게동경,303324,550983,,서울특별시 마포구 망원로6길 21
학림다방,312021,553772,02-742-2877,서울특별시 종로구 대학로 119
<b>카페</b>진정성,279328,570777,031-986-5520,경기도 김포시 하성면 하성로 660
코드케이 방탈출<b>카페</b>,314117,544940,,서울특별시 강남구 봉은사로2길 31 지하 1층 코드케이
배터리파크 명동점,310348,551386,,서울특별시 중구 퇴계로 100 스테이트타워남산 B1 106호
<b>카페</b> 울라봉,439165,249866,055-649-3824,경상남도 통영시 동문로 22 2층
비트포비아 신논현,314094,545227,02-6408-6408,서울특별시 강남구 봉은사로 115 노벨테크빌딩 B2F
르알래스카 가로수길점,313869,547254,02-546-5872,서울특별시 강남구 압구정로14길 15
홍대반지<b>카페</b>,304884,550539,02-337-6464,서울특별시 마포구 잔다리로6길 40-6
듀자미,313794,546802,02-3443-0030,서울특별시 강남구 도산대로11길 28
